KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
0.09323993198235545,1.937443194607075e-05,0.05132674061710815,5.268020468099177e-05,0.15394530799168543,1.0586970804251358e-05,10,10,50
0.09323993198235545,1.937443194607075e-05,0.05142270984399122,5.268265047839726e-05,0.15490631713338887,1.0558862020620437e-05,10,10,70
0.09323993198235545,1.937443194607075e-05,0.051519086918283184,5.2685122212536655e-05,0.15586788578819985,1.0531518550865631e-05,10,10,90
0.09185549273420843,1.949241091400667e-05,0.051073983911904604,5.267409726957757e-05,0.15155272131141048,1.0642878197630851e-05,10,30,10
0.09185549273420843,1.949241091400667e-05,0.05116884627160529,5.26764770889173e-05,0.15251217038187923,1.0613283361885834e-05,10,30,30
0.09185549273420843,1.949241091400667e-05,0.05126412185628138,5.267888285643962e-05,0.1534722073821875,1.0584441890250571e-05,10,30,50
0.09185549273420843,1.949241091400667e-05,0.05135980871217283,5.2681314569107944e-05,0.15443282133086136,1.0556359965990275e-05,10,30,70
0.09185549273420843,1.949241091400667e-05,0.05145590452207244,5.268377221858504e-05,0.1553940015141185,1.0529043675052465e-05,10,30,90
0.09082923772422413,1.9612223328820194e-05,0.05101202553467289,5.267280874778578e-05,0.15108011469821453,1.0640288275034474e-05,10,50,10
0.09082923772422413,1.9612223328820194e-05,0.05110660020200267,5.2675174429833675e-05,0.15203914884905018,1.0610720099484765e-05,10,50,30
0.09082923772422413,1.9612223328820194e-05,0.05120158962618659,5.267756606542605e-05,0.15299877808073747,1.0581905613261327e-05,10,50,50
0.09082923772422413,1.9612223328820194e-05,0.05129699173629054,5.2679983649017655e-05,0.15395899125125379,1.0553850997184627e-05,10,50,70
0.09082923772422413,1.9612223328820194e-05,0.05139280459445958,5.268242717764724e-05,0.15491977748951397,1.052656233397447e-05,10,50,90
0.09017336392271612,1.973385819114274e-05,0.0509501606638567,5.267152540057838e-05,0.15060719807478218,1.0637690195147996e-05,10,70,10
0.09017336392271612,1.973385819114274e-05,0.051044445124547866,5.267387690041525e-05,0.151565811395616,1.0608149123110135e-05,10,70,30
0.09017336392271612,1.973385819114274e-05,0.051139146818960424,5.2676254369151985e-05,0.1525250270715981,1.0579362067245609e-05,10,70,50
0.09017336392271612,1.973385819114274e-05,0.05123426234084975,5.267865778668468e-05,0.1534848337900234,1.0551335208091407e-05,10,70,70
0.09017336392271612,1.973385819114274e-05,0.051329790476877454,5.268108715773928e-05,0.15444522051803566,1.0524074625155366e-05,10,70,90
0.0898959452158775,1.985730445152063e-05,0.05088839190957304,5.2670247286465246e-05,0.15013397863418973,1.0635084051138796e-05,10,90,10
0.0898959452158775,1.985730445152063e-05,0.0509823848735738,5.267258457292309e-05,0.15109216512507503,1.0605570525933379e-05,10,90,30
0.0898959452158775,1.985730445152063e-05,0.051076795596601124,5.267494782161906e-05,0.15205096135994617,1.057681134810467e-05,10,90,50
0.0898959452158775,1.985730445152063e-05,0.051171622792116844,5.2677337036459665e-05,0.15301035586215103,1.054881269423135e-05,10,90,70
0.0898959452158775,1.985730445152063e-05,0.05126686320527933,5.2679752199106504e-05,0.15397033743214147,1.0521580644147206e-05,10,90,90
0.09442583858532758,1.8644754984886085e-05,0.06680870636633963,0.0001442802920317193,0.1257735049501605,1.069795194207219e-05,20,10,10
0.09442583858532758,1.8644754984886085e-05,0.06686790500811321,0.00014428089490957648,0.1267212308087864,1.0661736903757682e-05,20,10,30
0.09442583858532758,1.8644754984886085e-05,0.06692750255499376,0.00014428150735199506,0.1276698152832102,1.0626227386016403e-05,20,10,50
0.09442583858532758,1.8644754984886085e-05,0.06698749754175251,0.00014428212935414274,0.12861923935815772,1.0591430493353251e-05,20,10,70
0.09442583858532758,1.8644754984886085e-05,0.06704788935799175,0.00014428276091788038,0.12956948456184783,1.0557353279273693e-05,20,10,90
0.09592804658096259,1.878248616223812e-05,0.06677114330482033,0.00014427995981792642,0.12530788547548846,1.0695301024110346e-05,20,30,10
0.09592804658096259,1.878248616223812e-05,0.06683006807420441,0.00014428055747884062,0.12625502642458172,1.0659111622878137e-05,20,30,30
0.09592804658096259,1.878248616223812e-05,0.06688939238962598,0.00014428116470496406,0.12720303801424016,1.0623628085053991e-05,20,30,50
0.09592804658096259,1.878248616223812e-05,0.06694911519702483,0.00014428178149476363,0.12815190090673753,1.0588857514306163e-05,20,30,70
0.09592804658096259,1.878248616223812e-05,0.06700923572765699,0.0001442824078485865,0.1291015963156748,1.0554806963706204e-05,20,30,90
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
