KR,KRR,DR,DRR,AR,ARR,Q_sigma,P_sigma,Pv_sigma
0.102636989110928,0.000233898402502257,0.109430082457475,0.000172542587446424,0.143804404055619,2.88924809548149E-05,1.00E-10,1.00E+06,1.00E+00
0.102646049732316,0.000233949567812613,0.109430331818986,0.000172547058413334,0.143804408609643,2.88924865706556E-05,1.00E-11,1.00E+06,1.00E+00
0.102646138725601,0.000233950080196206,0.109430332301646,0.000172547100615153,0.143804408638991,2.88924866218739E-05,1.00E-13,1.00E+06,1.00E+00
0.102646139110492,0.000233950080962929,0.109430332611918,0.000172547101069107,0.143804408638551,2.8892486621789E-05,1.00E-14,1.00E+06,1.00E+00
0.10264614043304,0.000233950079974079,0.109430334372005,0.000172547103181402,0.143804408660493,2.88924866278487E-05,1.00E-12,1.00E+06,1.00E+00
0.102650771598304,0.000233909693217407,0.109412882589617,0.000172550046889774,0.143674252857179,2.88826520050157E-05,1.00E-10,1.00E+05,1.00E+00
0.102659832454598,0.000233960862177409,0.109413131265058,0.000172554518844822,0.143674257027328,2.88826575932185E-05,1.00E-11,1.00E+05,1.00E+00
0.102659921436864,0.000233961371145684,0.109413132409428,0.000172554561647376,0.143674257029963,2.88826576313626E-05,1.00E-12,1.00E+05,1.00E+00
0.102659923037849,0.000233961377619403,0.109413133009381,0.000172554562921476,0.143674257046914,2.88826576365941E-05,1.00E-14,1.00E+05,1.00E+00
0.10265992563221,0.000233961382403516,0.10941313502691,0.000172554565822862,0.143674257046987,2.88826576365941E-05,1.00E-13,1.00E+05,1.00E+00
0.102768647571086,0.000233905062929857,0.109294658766789,0.000171556876011049,0.142241593447373,2.87807159931345E-05,1.00E-10,1.00E+07,1.00E+00
0.102777614139869,0.000233956009359159,0.109294904281768,0.000171561284178474,0.142241597524151,2.8780721455622E-05,1.00E-11,1.00E+07,1.00E+00
0.10277770417358,0.000233956523023387,0.109294906302367,0.000171561327962545,0.142241597553038,2.87807214952414E-05,1.00E-13,1.00E+07,1.00E+00
0.102777704374445,0.000233956523410786,0.109294906438225,0.00017156132815783,0.142241597552458,2.87807214952414E-05,1.00E-14,1.00E+07,1.00E+00
0.102777705525792,0.000233956522116204,0.109294908093406,0.000171561330107055,0.142241597578938,2.87807215091683E-05,1.00E-12,1.00E+07,1.00E+00
0.103543067310292,0.000225724166690687,0.132507316789877,0.0002094592746058,0.151539878593802,2.86393289724713E-05,1.00E-09,1.00E+03,1.00E+00
0.104398652791584,0.000230554381543013,0.132527204515477,0.00020981867764844,0.151540351574777,2.86398900521582E-05,1.00E-10,1.00E+03,1.00E+00
0.10440743163312,0.000230605082340706,0.132527404218618,0.000209822285633898,0.151540356175516,2.86398956336636E-05,1.00E-11,1.00E+03,1.00E+00
0.104407516411245,0.000230605583828124,0.132527404275527,0.000209822318935072,0.151540356247708,2.86398956995706E-05,1.00E-12,1.00E+03,1.00E+00
0.104407519821308,0.000230605593681732,0.132527405960619,0.000209822321663109,0.151540356245663,2.86398957000311E-05,1.00E-13,1.00E+03,1.00E+00
0.10440751984257,0.000230605593734763,0.132527405959828,0.000209822321668433,0.151540356245663,2.86398957000311E-05,1.00E-14,1.00E+03,1.00E+00
0.104628889736705,0.000231044833790751,0.108102901738865,0.000169406754601065,0.125012331196213,2.75477087370324E-05,1.00E-09,1.00E+04,1.00E+00
0.105475515023437,0.000235891546500023,0.108126040251378,0.000169842665174092,0.125012729173121,2.75482101891359E-05,1.00E-10,1.00E+04,1.00E+00
0.105484205310977,0.000235942427974934,0.10812627189176,0.00016984703993863,0.125012733028225,2.75482151935536E-05,1.00E-11,1.00E+04,1.00E+00
0.105484293052556,0.000235942938495636,0.108126274833177,0.000169847084565871,0.125012733062119,2.75482152303547E-05,1.00E-12,1.00E+04,1.00E+00
